observatory,country,altitude_m,cloud_cover_pct,humidity_pct,wind_speed_ms,temperature_c,observation_score,condition
Mauna Kea Observatory,USA,4205,0.0,74.0,2.11,7.2,100.0,Excellent
Cerro Pachon Observatory,Chile,2722,0.0,36.0,3.44,16.6,100.0,Excellent
Himalayan Chandra Telescope,India,4500,0.0,34.0,1.4,-7.4,100.0,Excellent
Himalayan Chandra Telescope,India,4500,0.0,37.0,1.3,-8.8,100.0,Excellent
Himalayan Chandra Telescope,India,4500,0.0,37.0,1.3,-8.8,100.0,Excellent
Himalayan Chandra Telescope,India,4500,0.0,36.0,1.1,-8.7,100.0,Excellent
Himalayan Chandra Telescope,India,4500,0.0,36.0,1.1,-8.7,100.0,Excellent
Himalayan Chandra Telescope,India,4500,0.0,36.0,1.1,-8.7,100.0,Excellent
Himalayan Chandra Telescope,India,4500,0.0,36.0,1.02,-8.7,100.0,Excellent
Himalayan Chandra Telescope,India,4500,0.0,36.0,1.02,-8.7,100.0,Excellent
Himalayan Chandra Telescope,India,4500,0.0,37.0,1.04,-8.9,100.0,Excellent
Himalayan Chandra Telescope,India,4500,0.0,37.0,1.14,-9.2,100.0,Excellent
Paranal Observatory,Chile,2635,0.0,21.0,2.06,15.2,100.0,Excellent
Cerro Pachon Observatory,Chile,2722,0.0,54.0,1.49,8.3,100.0,Excellent
Himalayan Chandra Telescope,India,4500,0.0,8.0,3.14,9.1,100.0,Excellent
Paranal Observatory,Chile,2635,0.0,50.0,1.75,15.0,100.0,Excellent
Cerro Pachon Observatory,Chile,2722,0.0,36.0,3.21,18.1,100.0,Excellent
Himalayan Chandra Telescope,India,4500,0.0,29.0,1.53,-4.9,100.0,Excellent
Paranal Observatory,Chile,2635,15.0,75.0,0.91,12.6,92.5,Excellent
Paranal Observatory,Chile,2635,22.0,63.0,0.91,14.8,89.0,Excellent
Cerro Pachon Observatory,Chile,2722,22.0,42.0,2.82,15.5,89.0,Excellent
Cerro Pachon Observatory,Chile,2722,22.0,42.0,2.82,15.5,89.0,Excellent
Cerro Pachon Observatory,Chile,2722,22.0,44.0,2.6,15.2,89.0,Excellent
Cerro Pachon Observatory,Chile,2722,22.0,44.0,2.6,15.2,89.0,Excellent
Cerro Pachon Observatory,Chile,2722,22.0,44.0,2.6,15.2,89.0,Excellent
Cerro Pachon Observatory,Chile,2722,24.0,45.0,2.47,15.0,88.0,Excellent
Cerro Pachon Observatory,Chile,2722,24.0,45.0,2.47,15.0,88.0,Excellent
Cerro Pachon Observatory,Chile,2722,24.0,47.0,2.35,14.6,88.0,Excellent
Cerro Pachon Observatory,Chile,2722,24.0,50.0,2.24,14.2,88.0,Excellent
Paranal Observatory,Chile,2635,29.0,75.0,0.72,12.9,85.5,Excellent
Paranal Observatory,Chile,2635,29.0,75.0,0.72,12.9,85.5,Excellent
Paranal Observatory,Chile,2635,29.0,75.0,0.73,12.8,85.5,Excellent
Paranal Observatory,Chile,2635,33.0,73.0,0.78,13.4,83.5,Excellent
Paranal Observatory,Chile,2635,33.0,73.0,0.78,13.4,83.5,Excellent
Paranal Observatory,Chile,2635,33.0,74.0,0.78,13.1,83.5,Excellent
Paranal Observatory,Chile,2635,33.0,74.0,0.78,13.1,83.5,Excellent
Paranal Observatory,Chile,2635,33.0,74.0,0.78,13.1,83.5,Excellent
Mauna Kea Observatory,USA,4205,48.0,80.0,2.05,7.4,76.0,Good
Mauna Kea Observatory,USA,4205,52.0,71.0,3.04,9.1,74.0,Good
Mauna Kea Observatory,USA,4205,52.0,71.0,3.04,9.1,74.0,Good
Mauna Kea Observatory,USA,4205,52.0,70.0,3.11,9.3,74.0,Good
La Palma Observatory,Spain,2396,47.0,87.0,1.39,3.8,72.5,Good
Mauna Kea Observatory,USA,4205,55.0,75.0,2.76,8.6,72.5,Good
Mauna Kea Observatory,USA,4205,55.0,75.0,2.76,8.6,72.5,Good
Mauna Kea Observatory,USA,4205,55.0,73.0,2.9,8.9,72.5,Good
Mauna Kea Observatory,USA,4205,55.0,73.0,2.9,8.9,72.5,Good
Mauna Kea Observatory,USA,4205,55.0,73.0,2.9,8.9,72.5,Good
Mauna Kea Observatory,USA,4205,55.0,70.0,3.11,9.4,72.5,Good
La Palma Observatory,Spain,2396,46.0,88.0,1.17,2.5,71.0,Good
La Palma Observatory,Spain,2396,55.0,91.0,0.94,2.8,60.5,Good
La Palma Observatory,Spain,2396,55.0,91.0,0.94,2.8,60.5,Good
La Palma Observatory,Spain,2396,55.0,91.0,0.92,2.6,60.5,Good
La Palma Observatory,Spain,2396,55.0,91.0,0.92,2.6,60.5,Good
La Palma Observatory,Spain,2396,55.0,91.0,0.92,2.6,60.5,Good
La Palma Observatory,Spain,2396,55.0,92.0,0.85,2.5,58.5,Marginal
La Palma Observatory,Spain,2396,55.0,92.0,0.85,2.5,58.5,Marginal
La Palma Observatory,Spain,2396,55.0,93.0,0.92,2.4,56.5,Marginal
La Palma Observatory,Spain,2396,55.0,94.0,0.94,2.3,54.5,Marginal
Mauna Kea Observatory,USA,4205,100.0,98.0,0.85,4.5,24.0,Poor
La Palma Observatory,Spain,2396,100.0,99.0,1.21,1.7,22.0,Poor
