Name,Country,Latitude,Longitude,Altitude (m),Score,Condition,Cloud %,Humidity %,Wind m/s,Temp C
0  Tucson-Winterhaven,Unknown,32.0963,-110.93,0,100.0,Excellent,0.0,14.0,3.78,26.4
"4  Jornada Observatory, Las Cruces",Unknown,32.209,-106.724,0,100.0,Excellent,0.0,12.0,5.88,26.5
8  Düsseldorf-Bilk,Europe,51.016,6.7612,0,100.0,Excellent,0.0,41.0,4.4,14.7
2  Tashkent,Asia,41.1335,69.2936,0,100.0,Excellent,0.0,85.0,1.44,16.5
8  Hyderabad,India,17.3178,78.4541,0,100.0,Excellent,0.0,52.0,2.87,28.9
3  Fountain Hills,USA,33.4572,-111.74,0,100.0,Excellent,0.0,16.0,2.11,27.5
"2  Peking Observatory, Shaho Station",Asia,39.9106,116.328,0,100.0,Excellent,0.0,37.0,1.5,11.5
"2  Goodricke-Pigott Observatory, Tucson",USA,31.9814,-111.082,0,100.0,Excellent,0.0,13.0,4.01,26.4
1  GOTO South,Unknown,-31.1028,149.064,0,100.0,Excellent,0.0,72.0,3.7,13.3
"9  Tumamoc Hill, Tucson",USA,32.0358,-111.006,0,100.0,Excellent,0.0,14.0,3.18,27.6
9  Bagdad,USA,34.3903,-113.183,0,100.0,Excellent,0.0,13.0,3.86,26.2
"1  Marine Observatory, Hamburg",Europe,53.3632,9.9727,0,100.0,Excellent,0.0,42.0,2.38,8.5
"Urania Observatory, Berlin",Europe,52.34,13.3642,0,100.0,Excellent,0.0,47.0,4.03,8.4
4  Osservatorio Astronomico Vallemare di Borbona,Europe,42.2926,13.1181,0,100.0,Excellent,0.0,62.0,0.81,10.3
8  Leamington Spa,Europe,52.1284,-1.5331,0,100.0,Excellent,0.0,59.0,5.4,8.7
0  Telford,Europe,52.4625,-2.4683,0,100.0,Excellent,0.0,71.0,2.8,8.0
9  Liverpool (since 1867),Europe,53.2139,-3.0722,0,100.0,Excellent,0.0,59.0,3.4,10.5
Hartwell,Europe,51.6719,-0.85,0,100.0,Excellent,0.0,53.0,4.6,8.9
0  ISON-Blagoveschensk Observatory,Asia,50.1293,127.482,0,100.0,Excellent,0.0,60.0,1.26,2.5
6  Baja Astronomical Observatory,Europe,45.9859,19.0108,0,100.0,Excellent,0.0,40.0,2.7,14.7
"7  Lohrmann Institute, Dresden",Europe,50.8403,13.7298,0,100.0,Excellent,0.0,40.0,1.8,6.2
9  Peverell,Europe,50.1991,-4.1336,0,100.0,Excellent,0.0,73.0,7.3,12.4
7  Pymoor,Europe,52.28,0.2189,0,100.0,Excellent,0.0,58.0,5.3,8.8
"8  ROTSE-III, Los Alamos",USA,35.683,-106.746,0,100.0,Excellent,0.0,10.0,6.02,19.8
0  Penwortham,Australia,-33.741,138.641,0,100.0,Excellent,0.0,63.0,2.61,12.4
"Joint Obs. for cometary research, Socorro",USA,33.8061,-107.188,0,100.0,Excellent,0.0,9.0,5.02,22.1
